v1,v2,v3,v4,v5,v5 (-),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,B15
0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,-1,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,-1,0,4,-4,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0
0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
